Gross weight of truck,Leg Distance,Load of leg (lbs),Leg Unloading Hrs
5337.976783,264.1610197,2252.155116,0.600090909
5337.976783,29.25402769,3085.821667,0.637141414
6813.760566,58.36174505,797.4614526,0.535434343
6813.760566,271.2623823,6016.299114,0.767383838
16029.0044,67.44281862,8264.708571,0.867313131
16029.0044,135.590978,4489.36,0.699525253
16029.0044,95.90022843,3274.935829,0.645545455
14021.02354,12.49547222,4428.638542,0.696828283
14021.02354,49.11362732,4103.459,0.682373737
14021.02354,121.307351,5488.926,0.743949495
11042.93018,117.8394804,1668.920277,0.574171717
11042.93018,4.511934934,3222.669106,0.643222222
11042.93018,36.52919393,6151.3408,0.773383838
13344.21727,114.4359109,4448.072425,0.697686869
12363.41125,384.6697822,4121.137082,0.683161616
17058.01884,12.49547222,8857.277085,0.893656566
17058.01884,102.6746296,1354.953913,0.560212121
17058.01884,223.6047217,6845.787839,0.804252525
4875,192.7709884,2655,0.618
4875,128.8709526,1155,0.551333333
11921.25985,2.989015527,5705.655822,0.753575758
11921.25985,12.22167016,3230.820766,0.643585859
11921.25985,69.36194941,2984.783263,0.632656566
7993.11883,95.92694887,2548.628526,0.613262626
7993.11883,29.58848392,5444.490304,0.741969697
6819.518297,5.459808987,1064.224942,0.547292929
6819.518297,12.93936401,692.1878554,0.530757576
6819.518297,80.70567058,5063.1055,0.725020202
18607.84018,261.441163,10893.56305,0.984151515
18607.84018,166.9259469,4970.162704,0.720888889
18607.84018,244.7528971,2744.114429,0.621959596
5288.644935,56.59985781,3291.009935,0.646262626
5288.644935,147.7756378,1997.635,0.588777778
11820,355.6878159,5910,0.762666667
16732.93392,146.4435862,5705.6185,0.753575758
16732.93392,95.36758942,5505.58325,0.744686869
16732.93392,106.5716706,5521.732167,0.74540404
10149.31229,10.16343858,2878.032667,0.627909091
10149.31229,25.5517857,3635.639813,0.661575758
12988.67743,116.2192686,8611.631667,0.882737374
12988.67743,52.98827283,3434.9115,0.652656566
12988.67743,77.05784999,942.1342609,0.541868687
13783.01052,176.8740084,4890.4525,0.717343434
13783.01052,146.3540515,4678.295067,0.707919192
13783.01052,49.25022874,4214.262952,0.687292929
18535.70327,8.203229874,6276.996,0.778969697
18535.70327,90.4260873,12258.70727,1.044828283
12423.38534,13.0087334,3572.540182,0.658777778
12423.38534,19.77836553,4193.025627,0.686353535
12423.38534,60.08463107,4657.819535,0.707010101
15638.13837,68.23353109,9239.045616,0.910616162
15638.13837,72.06963416,4223.887017,0.687727273
15638.13837,11.73243019,2175.205741,0.596666667
12690.88637,79.2145859,5338.218955,0.737252525
12690.88637,157.3770961,4935,0.719333333
12690.88637,7.686580526,2417.667415,0.607444444
15565.38208,40.45523328,3030.069091,0.634666667
15565.38208,88.1262428,6267.656496,0.778555556
13013.54245,18.34310278,6747.192831,0.799868687
13013.54245,173.3442221,1998.461893,0.588818182
13013.54245,25.88890078,4267.887725,0.689676768
9554,254.9411581,6054,0.769060606
9554,237.580248,3500,0.655555556
7964.189529,13.16572403,2780.408124,0.623565657
7964.189529,17.31168558,3363.654861,0.649494949
7964.189529,21.78780809,1820.126543,0.580888889
14893.72631,3.10333331,3453.609196,0.653484848
14893.72631,21.76724207,5530.407484,0.745787879
14893.72631,43.71057807,5909.70963,0.762646465
5557.577998,27.05760442,1921.846875,0.585414141
5557.577998,19.50181594,1707.203833,0.575868687
5557.577998,50.74290329,1928.527289,0.585707071
8286.90827,77.3073302,2930.5375,0.630242424
8286.90827,34.28923877,2070.213467,0.592
8286.90827,270.9986033,3286.157303,0.646050505
13207.48531,34.45091108,5372.188,0.738757576
13207.48531,15.24634081,4620.823,0.705363636
13207.48531,26.07090302,3214.474306,0.642858586
11042.93018,117.8394804,1668.920277,0.574171717
11042.93018,4.511934934,3222.669106,0.643222222
11042.93018,36.52919393,6151.3408,0.773383838
3638.723435,86.22419075,1824.037718,0.581060606
3638.723435,74.61334124,1059.19055,0.547070707
3638.723435,34.07585199,755.4951667,0.533575758
6367.888086,28.48074083,1478.127314,0.565686869
6367.888086,18.77072933,1580.908585,0.570252525
6367.888086,9.424447934,3308.852188,0.647050505
17054.50805,44.34182218,9588.12905,0.926131313
17054.50805,27.06488587,7466.379,0.831838384
12553.36254,63.34267708,6332.457,0.781434343
12553.36254,85.22937898,3628.609,0.661262626
12553.36254,18.53915882,2592.296538,0.615212121
17635.12074,14.12115921,5404.662107,0.74020202
17635.12074,105.0177397,6129.353634,0.772414141
17635.12074,55.26727601,6101.105,0.771151515
13627.94,9.707099606,10182.14,0.952535354
13627.94,34.99654185,3445.8,0.653141414
14385.84346,12.55954506,5411.1676,0.740494949
14385.84346,41.38333642,4554.70759,0.702424242
14385.84346,27.85900432,4419.968275,0.696434343
11778.08195,59.52224427,2881.937103,0.628080808
11778.08195,70.64145171,4448.072425,0.697686869
19484.3953,18.54852982,7815.881538,0.847363636
19484.3953,153.8612028,11668.51376,1.01859596
5696,6.609854546,2896,0.628707071
5696,178.3911834,2800,0.624444444
17331.3763,12.81185666,6128.773333,0.772383838
17331.3763,22.26254709,5419.652375,0.740868687
17331.3763,163.1069736,5782.950587,0.757010101
16732.93392,146.4435862,5705.6185,0.753575758
16732.93392,95.36758942,5505.58325,0.744686869
16732.93392,106.5716706,5521.732167,0.74540404
14463.76017,62.49354245,5850.584567,0.760020202
14463.76017,45.49444957,2762.591038,0.622777778
13728.28382,26.53658504,3222.488928,0.643212121
13728.28382,94.07182691,7283.305962,0.82369697
7927.426145,118.8502506,1355.111538,0.560222222
7927.426145,82.17748629,3286.157303,0.646050505
17792.2897,114.4359109,8896.14485,0.895383838
6842.516481,96.81133363,3271.258241,0.645383838
6842.516481,13.81299993,300,0.513333333
6041.037055,13.0087334,1786.270091,0.579383838
6041.037055,28.62783299,3388.445758,0.65059596
